sample	fq1	fq2	timepoint	type	shrimp	pond	code	om_percent	nitrite	ph	ammonia	feedinput	temperature	do	trial	shared	trt
173V3V4	173V3V4_R1.fastq	173V3V4_R2.fastq	T0	Soil	0	D1	D1ST0	1.531393568	0	8.46	0.1	19.17	31.23	7.02	1	0	1
174V3V4	174V3V4_R1.fastq	174V3V4_R2.fastq	T0	Soil	0	D4	D4ST0	1.652892562	0	8.56	0.04	19.17	29.44	7.13	1	0	1
175V3V4	175V3V4_R1.fastq	175V3V4_R2.fastq	T1	Soil	0	C3	C3ST1	0.840336134	0	8.32	0.07	59.62	31.55	6.07	1	0	1
176V3V4	176V3V4_R1.fastq	176V3V4_R2.fastq	T1	Soil	0	C6	C6ST1	0.486223663	0	8.35	0.19	59.62	31.27	6.41	1	0	1
177V3V4	177V3V4_R1.fastq	177V3V4_R2.fastq	T1	Soil	0	D1	D1ST1	1.918465228	0.27	8.24	0.04	59.62	31.78	5.67	1	0	1
178V3V4	178V3V4_R1.fastq	178V3V4_R2.fastq	T1	Soil	0	D4	D4ST1	0.662251656	0	8.52	0.05	59.62	31.25	6.81	1	0	1
179V3V4	179V3V4_R1.fastq	179V3V4_R2.fastq	T2	Soil	0	C3	C3ST2	0.373831776	0	8.07	0.28	131.54	32.38	5.51	1	0	1
180V3V4	180V3V4_R1.fastq	180V3V4_R2.fastq	T2	Soil	0	C6	C6ST2	0.696864111	0.03	8.34	0.48	134.44	31.79	6.17	1	0	1
181V3V4	181V3V4_R1.fastq	181V3V4_R2.fastq	T2	Soil	0	D1	D1ST2	2.9296875	0.03	8.18	0.4	114.12	32.47	5.29	1	0	1
182V3V4	182V3V4_R1.fastq	182V3V4_R2.fastq	T2	Soil	0	D4	D4ST2	2.272727273	0	8.24	0.51	117.01	32.23	6.41	1	0	1
183V3V4	183V3V4_R1.fastq	183V3V4_R2.fastq	T3	Soil	0	C3	C3ST3	1.313320826	0	8.04	0.45	159.87	31.56	6.83	1	0	1
184V3V4	184V3V4_R1.fastq	184V3V4_R2.fastq	T3	Soil	0	C6	C6ST3	5.604203152	0	8.06	2.17	157.73	30.9	6.52	1	0	1
185V3V4	185V3V4_R1.fastq	185V3V4_R2.fastq	T3	Soil	0	D1	D1ST3	1.956947162	0	8.01	1.06	141.97	31.67	6.7	1	0	1
186V3V4	186V3V4_R1.fastq	186V3V4_R2.fastq	T3	Soil	0	D4	D4ST3	2.839116719	0	8.09	0.28	153.55	31.28	7.53	1	0	1
187V3V4	187V3V4_R1.fastq	187V3V4_R2.fastq	T4	Soil	0	C1	C1ST4	0	0	0	0	0	0	0	2	0	2
188V3V4	188V3V4_R1.fastq	188V3V4_R2.fastq	T4	Soil	0	C2	C2ST4	0	0	0	0	0	0	0	2	0	4
